sell_date,realized_profit_loss,cumulative_pl
2018-12-31,2.1699999999999875,2.1699999999999875
2019-01-31,45.97,48.139999999999986
2019-02-28,-6.600000000000001,41.539999999999985
2019-03-31,28.410000000000004,69.94999999999999
2019-04-30,-28.999999999999996,40.94999999999999
2019-05-31,-27.82999999999999,13.119999999999997
2019-06-30,344.4900000000002,357.6100000000002
2019-07-31,276.1099999999999,633.72
2019-08-31,-132.78000000000006,500.93999999999994
2019-09-30,214.89000000000004,715.8299999999999
2019-10-31,-119.45000000000005,596.3799999999999
2019-11-30,160.87999999999997,757.2599999999999
2019-12-31,326.75,1084.0099999999998
2020-01-31,89.31,1173.3199999999997
2020-02-29,80.39,1253.7099999999998
2020-03-31,-2088.4,-834.6900000000003
2020-04-30,-262.13000000000005,-1096.8200000000004
2020-05-31,-329.4600000000001,-1426.2800000000004
2020-06-30,1065.37,-360.91000000000054
2020-07-31,15.439999999999998,-345.47000000000054
2020-08-31,157.81999999999996,-187.65000000000057
2020-09-30,392.99081615999995,205.34081615999938
2020-10-31,-6.809999999999978,198.5308161599994
2020-11-30,267.5799999999999,466.11081615999933
2020-12-31,522.09,988.2008161599994
2021-01-31,1565.1876126,2553.3884287599994
2021-02-28,2188.39,4741.778428759999
2021-03-31,1638.6979513200001,6380.476380079999
2021-04-30,-148.27469547999996,6232.2016846
2021-05-31,-168.65690211999996,6063.544782479999
2021-06-30,-75.37000000000003,5988.1747824799995
2021-07-31,216.21013831999994,6204.384920799999
2021-08-31,462.4099999999999,6666.794920799999
2021-09-30,-364.92999999999995,6301.864920799999
2021-10-31,-429.11,5872.754920799999
2021-11-30,-863.6079402499998,5009.146980549999
2021-12-31,-57.33146532000006,4951.815515229999
2022-01-31,-1752.25812,3199.5573952299987
2022-02-28,-37.65642,3161.900975229999
2022-03-31,-1205.3951499999996,1956.5058252299993
2022-04-30,-1885.7340081600003,70.77181706999909
2022-05-31,-246.63572664999995,-175.86390958000086
2022-06-30,-2533.21619639,-2709.0801059700007
2022-07-31,-2027.1003268,-4736.180432770001
2022-08-31,572.2094958399999,-4163.970936930001
2022-09-30,667.7229071,-3496.2480298300006
2022-10-31,525.52828448,-2970.7197453500007
2022-11-30,-653.30104155,-3624.0207869000005
2022-12-31,-1303.9026986000001,-4927.9234855
2023-01-31,1229.9202673199998,-3698.0032181800007
2023-02-28,1956.04203872,-1741.9611794600007
2023-03-31,158.38690399999996,-1583.5742754600008
2023-04-30,-151.49467969000005,-1735.0689551500009
2023-05-31,-864.1136438899999,-2599.1825990400007
2023-06-30,528.21562142,-2070.9669776200008
2023-07-31,451.47830670999997,-1619.4886709100008
2023-08-31,-2.38694719,-1621.8756181000008
2023-09-30,-397.20748891000005,-2019.0831070100007
2023-10-31,-531.29285789,-2550.375964900001
2023-11-30,5.709245969999992,-2544.6667189300006
2023-12-31,808.0715823099996,-1736.595136620001
2024-01-31,-226.44867033999986,-1963.043806960001
2024-02-29,256.82546342999996,-1706.218343530001
2024-03-31,195.34705663999986,-1510.871286890001
2024-04-30,396.22912683999994,-1114.6421600500012
2024-05-31,413.61203195,-701.0301281000011
2024-06-30,249.23385145000023,-451.7962766500009
2024-07-31,356.04320695999996,-95.75306969000093
2024-08-31,-315.15871785999997,-410.9117875500009
2024-09-30,1056.3658004499998,645.4540128999989
2024-10-31,373.2543276499999,1018.7083405499989
2024-11-30,276.06634588,1294.7746864299988
2024-12-31,-3.8811003300000024,1290.8935860999989
2025-01-31,126.9457507,1417.8393367999988
2025-02-28,-74.50034078999992,1343.338996009999
2025-03-31,121.7823884900001,1465.121384499999
2025-04-30,-121.02686709000004,1344.094517409999
2025-05-31,-77.12954081000011,1266.9649765999989
